Player,Year,Tm,Age,MP,TS%,FTr,Offense,Val/Shot,Production,Height,Weight
Truck Robinson,1978,NOJ,26,3638,0.481,0.34,-0.37,0.2,"$3,1.6,0.6
Randy Smith,1978,BUF,29,3314,0.521,0.326,-0.19,0.4,"$16,8.5,10.8
Elvin Hayes,1978,WSB,32,3246,0.489,0.365,0.5,0.2,"$14,7.4,3.9
Dave Cowens,1978,BOS,29,3215,0.533,0.233,1.06,0.4,"$26,14,7.9
Bob McAdoo,1978,NYK,26,3182,0.567,0.412,0.75,0.4,"$21,11.6,9
Bernard King,1978,NJN,21,3092,0.511,0.277,0.76,0.3,"$12,6.2,6
Artis Gilmore,1978,CHI,28,3067,0.604,0.531,1.38,0.5,"$25,13.7,10.6
David Thompson,1978,DEN,23,3025,0.578,0.422,2.12,0.5,"$21,11.6,14.1
Rick Barry,1978,GSW,33,3024,0.509,0.243,0.3,0.4,"$19,10.5,9.1
Ricky Sobers,1978,IND,25,3019,0.514,0.328,-2.01,0.4,"$9,4.9,5.2
Scott Wedman,1978,KCK,25,2961,0.55,0.213,2.47,0.3,"$13,7.2,7.4
Phil Smith,1978,GSW,25,2940,0.522,0.283,-0.11,0.4,"$9,4.8,5.9
John Lucas,1978,HOU,24,2933,0.481,0.264,-2.99,0.4,"$8,4.3,6
Marvin Webster,1978,SEA,25,2910,0.543,0.542,1.55,0.4,"$18,10,4
Jim Chones,1978,CLE,28,2906,0.503,0.225,1.56,0.3,"$7,3.8,2.2
Calvin Murphy,1978,HOU,29,2900,0.525,0.154,2.07,0.4,"$10,5.2,10.8
Wilbur Holland,1978,CHI,26,2884,0.483,0.217,-1.52,0.2,"$7,3.5,3.9
Mickey Johnson,1978,CHI,25,2870,0.526,0.367,-0.52,0.3,"$14,7.2,5.7
Larry Kenon,1978,SAS,25,2869,0.533,0.227,-0.96,0.3,"$14,7.4,7.1
George Gervin,1978,SAS,25,2857,0.594,0.377,1.42,0.4,"$22,11.8,12.4
Dan Issel,1978,DEN,29,2851,0.571,0.425,1.07,0.4,"$21,11.1,10.3
John Havlicek,1978,BOS,37,2797,0.495,0.221,-0.24,0.3,"$6,2.8,3.5
Bob Wilkerson,1978,DEN,23,2780,0.448,0.224,-3.69,0.2,"$1,0.4,-1.2
Norm Nixon,1978,LAL,22,2779,0.518,0.161,-2.07,0.4,"$5,2.6,3.6
Swen Nater,1978,BUF,28,2778,0.543,0.274,0.87,0.3,"$12,6.1,4.5
Bob Dandridge,1978,WSB,30,2777,0.528,0.352,0.55,0.4,"$14,7.6,6.2
Mike Bantom,1978,IND,26,2775,0.525,0.327,1.04,0.3,"$10,5.3,4
Doug Collins,1978,PHI,26,2770,0.568,0.269,0.46,0.4,"$11,5.7,7.5
Marques Johnson,1978,MIL,21,2765,0.563,0.34,2.44,0.4,"$18,10,8.9
Brian Winters,1978,MIL,25,2751,0.503,0.201,-0.93,0.3,"$5,2.6,5.5
Lionel Hollins,1978,POR,24,2741,0.482,0.25,-2.17,0.2,"$9,4.7,3.2
Kevin Porter,1978,NJN,27,2686,0.516,0.3,-3.87,0.6,"$900,0,1
Ron Boone,1978,KCK,31,2653,0.504,0.297,-1.56,0.3,"$2,0.7,3.1
Wes Unseld,1978,WSB,31,2644,0.535,0.352,0.56,0.4,"$21,11.3,4.3
Walter Davis,1978,PHO,23,2590,0.577,0.312,1.71,0.5,"$17,9.4,9.7
Chris Ford,1978,DET,29,2582,0.51,0.198,-1.51,0.3,"$8,4.3,3
Gus Williams,1978,SEA,24,2572,0.491,0.208,0.28,0.3,"$14,7.7,5.9
Eric Money,1978,DET,22,2557,0.531,0.248,-1.73,0.4,"$3,1.6,4.1
M.L. Carr,1978,DET,27,2556,0.502,0.316,-0.03,0.2,"$10,5.4,2.8
Gail Goodrich,1978,NOJ,34,2553,0.545,0.316,0.59,0.4,"$5,2.5,5.6
Don Buse,1978,PHO,27,2547,0.5,0.217,-0.02,0.3,"$10,5.4,1.9
George McGinnis,1978,PHI,27,2533,0.521,0.452,-2.08,0.3,"$17,9.1,7.1
Armond Hill,1978,ATL,24,2530,0.48,0.305,-2.76,0.3,"$4,1.7,0.4
Norm Van Lier,1978,CHI,30,2524,0.495,0.48,-3.23,0.3,"$6,3,2.1
Campy Russell,1978,CLE,26,2520,0.509,0.402,0.39,0.3,"$14,7.5,6.8
Henry Bibby,1978,PHI,28,2518,0.492,0.332,-1.65,0.3,"$3,1.6,2.6
Foots Walker,1978,CLE,26,2496,0.496,0.345,-1.42,0.4,"$14,7.3,3.2
Paul Westphal,1978,PHO,27,2481,0.565,0.311,1.6,0.5,"$14,7.6,10.5
Billy Paultz,1978,SAS,29,2479,0.568,0.313,1.35,0.3,"$15,8.3,5.8
Dwight Jones,1978,HOU,25,2476,0.496,0.3,1.44,0.2,"$4,2.2,1.6
Bobby Jones,1978,DEN,26,2440,0.616,0.364,1.85,0.5,"$22,11.8,6.8
Julius Erving,1978,PHI,27,2429,0.555,0.297,0.01,0.4,"$20,10.9,8.7
Dan Roundfield,1978,IND,24,2423,0.534,0.348,1.27,0.3,"$15,8,4.1
Dave Meyers,1978,MIL,24,2416,0.522,0.464,-0.03,0.3,"$6,3.2,2.8
Sidney Wicks,1978,BOS,28,2413,0.505,0.355,-0.04,0.3,"$6,3,1.7
George Johnson,1978,NJN,29,2411,0.438,0.257,0.05,0.1,"$6,3.2,-3.9
Earl Monroe,1978,NYK,33,2369,0.541,0.259,0.29,0.4,"$3,1.2,5.4
John Gianelli,1978,MIL,27,2327,0.507,0.196,1.04,0.2,"$6,3,1
